,username,tweetcreatedts,text,english
19,dokyong_,2021-11-17 14:02:10,"Kalo mau jujur UI emang keren, karena tetiba muncul dengan uji vaksin tahap 3.
Hasil uji tahap 1 dan 2 nya pasti sudah lama dilakukan dan dipublikasikan.

Berarti bakal ada 3 vaksin covid-19 butan dalam negri... Vaksin Nusantara, Merah Putih dan ARCoV.

#vaksin","If you want to be honest, UI is cool, because Tetiba appears with the stage 3 vaccine test.
The results of the test stage 1 and 2 must have been done for a long time and published.

That means there will be 3 covid-19 homes in the country ... Nusantara, Red and White and Arcov vaccines.

#vaccine"
20,Ranimohd1,2021-11-17 13:58:44,"#COVID19 : 95.4 peratus populasi dewasa negara lengkap divaksinasi

https://t.co/KtV7P1ToMn

#LindungDiriLindungSemua #MenangBersama #KitaJagaKita #Vaksin https://t.co/HHjhzCsVSz","# COVID19: 95.4 Percentage of complete country adult population vaccinated

https://t.co/ktv7p1tomn

#LeholdDirindirihuAll #mail #vaksin https://t.co/hhjhzcsvsz"
21,selorot,2021-11-17 13:22:37,"#COVID19 : 95.4 peratus populasi dewasa negara lengkap divaksinasi

https://t.co/3cV22TeSA4

#LindungDiriLindungSemua #MenangBersama #KitaJagaKita #Vaksin #JapenSarawak #sodiakroks https://t.co/TfeU3lhMCe","# COVID19: 95.4 Percentage of complete country adult population vaccinated

https://t.co/3cv22te

#Lehindirindirilahuaou #mail #japensarawak #sodiakroks https://t.co/tfeu3lhmce"
22,tanciukian,2021-11-17 13:16:15,"🙏Biasakan membaca 
Info Vaksin Batam 
Silakan datang ke lokasi
______

#infokotabatam #infobatam #vaksinasiturunkancovid #vaksin #AstraZeneca #sinovac #moderna2 
#vaksinbatam https://t.co/MFQqPIpqSK","🙏 Pressed reading
Info on Batam vaccine
Please come to the location
______

#Infokotabatam #InFobatam #VakSinasituranCovid #VAKSIN #astrazeneca #Ssinovac # Moderna2
#VakSinbatam https://t.co/mfqqPipqsk."
23,AszaryI,2021-11-17 13:15:03,"#COVID19 : 95.4 peratus populasi dewasa negara lengkap divaksinasi

https://t.co/3cV22TeSA4

#LindungDiriLindungSemua #MenangBersama #KitaJagaKita #Vaksin #JapenSarawak #sodiakroks https://t.co/TfeU3lhMCe","# COVID19: 95.4 Percentage of complete country adult population vaccinated

https://t.co/3cv22te

#Lehindirindirilahuaou #mail #japensarawak #sodiakroks https://t.co/tfeu3lhmce"
24,ppidbadung,2021-11-17 13:14:54,"Capaian Vaksin Covid-19 di Kabupaten Badung,  Rabu 17 November 2021.

Salam sehat #semetonbadung 
Yuk segera Vaksin !!

#ppidkabbadung #vaksincovid19 #semetonbadung #vaksincovid19kabbadung
@giri.prasta @ketut_suiasa @iwayanadiarnawa @igstnghjaya https://t.co/t28IM46CWV","The achievement of the Covid-19 vaccine in Badung Regency, Wednesday, November 17, 2021.

Healthy greetings #SemetonBadung
Let's immediately vaccine !!

#ppidkabbadung # VaksinCovid19 #SemetonBadung # VaksinCovid19Kabbadung
@ giri.prasta @ketut_suiasa @iwaanadarnawa @IGSTNGHJAYA https://t.co/T28IM46CWV"
25,SORAHIKO8,2021-11-17 13:05:50,"dan penduduk tanpa dokumen serta vaksinasi yang diberi kepada penduduk tanpa dokumen dan golongan bukan pemastautin. 

#LindungDiriLindungSemua
#vaksincovid19
#VaccinesSaveLives
#KLCeria
#CMSWPKL","and residents without documents and vaccinations given to residents without documents and non-residents.

#LehindirdiritAllAll
# vaccovid19
#VaccinessAvelives
#Klceria
#Cmswpkl"
26,infoRIAU,2021-11-17 13:01:28,"VAKSINASI MASSAL di RSAU dr.Sukirman Lanud Roesmin Nurjadin

18-19 November 2021 pukul 08.00-14.30 WIB
Contact person : 0812-6725-0040

#infoPKU #Pekanbaru #vaksincovid19 https://t.co/PCJGJlaLqv","Bulk vaccination in rsau dr.sukirman lanud roesmin nurjadin

18-19 November 2021 at 08.00-14.30 WIB
Contact Person: 0812-6725-0040

#FOPKU #Pekanku # vaccinCovid19 https://t.co/pcjgjlalqv"
27,infoPKU,2021-11-17 13:00:05,"VAKSINASI MASSAL di RSAU dr.Sukirman Lanud Roesmin Nurjadin

18-19 November 2021 pukul 08.00-14.30 WIB
Contact person : 0812-6725-0040

#infoPKU #Pekanbaru #vaksincovid19 https://t.co/PCJGJlaLqv","Bulk vaccination in rsau dr.sukirman lanud roesmin nurjadin

18-19 November 2021 at 08.00-14.30 WIB
Contact Person: 0812-6725-0040

#FOPKU #Pekanku # vaccinCovid19 https://t.co/pcjgjlalqv"
28,AsHafidh,2021-11-17 12:55:44,"Dapat kabar hari ini bahwa ada penelitian vaksin tahap 3 oleh almamaternya dok @dayatia
Vaksin pertama buatan Indonesia yang berbasis mRNA lho om @Partono_ADjem 😊🤭

Oya tuips... bagaimana kabar uji klinis dari vaksin Nusantara dan Merah Putih ya..🤔 ?

#vaksin","Can news today that there is a vaccine research stage 3 by the alma mater dok @DayATIA
The first vaccine made by Indonesia based in MRNA, bro, om @partono_adjem 😊🤭

Oya tuips ... how are the clinical trials from the archipelago and red and white vaccine ... 🤔?

#vaccine"
29,deanz1511,2021-11-17 12:43:57,"dan penduduk tanpa dokumen serta vaksinasi yang diberi kepada penduduk tanpa dokumen dan golongan bukan pemastautin. 

#LindungDiriLindungSemua
#vaksincovid19
#VaccinesSaveLives
#KLCeria
#CMSWPKL","and residents without documents and vaccinations given to residents without documents and non-residents.

#LehindirdiritAllAll
# vaccovid19
#VaccinessAvelives
#Klceria
#Cmswpkl"
30,wgkufitri,2021-11-17 12:38:33,"#COVID19 : 95.4 peratus populasi dewasa negara lengkap divaksinasi

https://t.co/3cV22TeSA4

#LindungDiriLindungSemua #MenangBersama #KitaJagaKita #Vaksin #JapenSarawak #sodiakroks https://t.co/TfeU3lhMCe","# COVID19: 95.4 Percentage of complete country adult population vaccinated

https://t.co/3cv22te

#Lehindirindirilahuaou #mail #japensarawak #sodiakroks https://t.co/tfeu3lhmce"
31,dokyong_,2021-11-17 12:38:13,"Dapat kabar hari ini bahwa ada penelitian vaksin tahap 3 oleh almamaternya dok @dayatia
Vaksin pertama buatan Indonesia yang berbasis mRNA lho om @Partono_ADjem 😊🤭

Oya tuips... bagaimana kabar uji klinis dari vaksin Nusantara dan Merah Putih ya..🤔 ?

#vaksin","Can news today that there is a vaccine research stage 3 by the alma mater dok @DayATIA
The first vaccine made by Indonesia based in MRNA, bro, om @partono_adjem 😊🤭

Oya tuips ... how are the clinical trials from the archipelago and red and white vaccine ... 🤔?

#vaccine"
32,mutiarafm,2021-11-17 12:25:20,"Vaksin AstraZeneca, CoronaVac diberi kelulusan bersyarat sebagai dos penggalak bagi individu 18 tahun ke atas yang terima vaksin dari jenis sama - KP Kesihatan

@DGHisham
@KKMPutrajaya

#onenews #vaksin #dospenggalak https://t.co/fgV8lSR4Ry","Astrazeneca vaccine, Coronavac is given conditional approval as a booster dose for individual 18 years and over acceptance of the vaccine from the same type - Health KP

@Dghisham
@Kkmputrajaya

#onenews #vaksin #dospengalak https://t.co/fgv8lsr4ry"
33,baliportalnews,2021-11-17 11:58:59,"Dokkes Polres Tabanan Gelar Gerai Vaksin TNI-Polri
 #DokkesPolresTabanan #POLRI #Tabanan #TNI #Vaksin

https://t.co/ftG4dnerWM https://t.co/ej5X1dLfEL","Dokkes Tabanan Police Holds TNI-Polri Vaccine Outlets
 #DokkesPolRestabanan #Polri #Tabanan #TNI #VAKSIN

https://t.co/ftG4dnerwm https://t.co/ej5x1dlfel."
34,majoritionline,2021-11-17 11:52:52,"Golongan vaksin AstraZeneca, CoronaVac boleh semak MySejahtera, mana tahu layak

#majoriti
#primer
#KKM
#vaksin
#refleksitanpaprejudis
#AFA70311

https://t.co/9C91qYhP0w","Astrazeneca vaccine group, Coronavac can check mysejahtera, which knows to be eligible

#theiority
#primer
#Kkm
#vaccine
#Rephekitanpaprejudish
# AFA70311

https://t.co/9c91qyhp0w"
35,BinNorhasmin,2021-11-17 11:34:51,"#COVID19 : 95.4 peratus populasi dewasa negara lengkap divaksinasi

https://t.co/3cV22TeSA4

#LindungDiriLindungSemua #MenangBersama #KitaJagaKita #Vaksin #JapenSarawak #sodiakroks https://t.co/TfeU3lhMCe","# COVID19: 95.4 Percentage of complete country adult population vaccinated

https://t.co/3cv22te

#Lehindirindirilahuaou #mail #japensarawak #sodiakroks https://t.co/tfeu3lhmce"
36,pikobar_jabar,2021-11-17 11:29:18,"Unggahan dari @humas_jabar berikut bakal bantu Wargi cari tahu kenapa anak harus divaksin, rekomendasi sesudah dan sebelum vaksinasi, dan ketentuan lainnya. Baca, yuk!

#Pikobar #PikoCampaign #Vaksinasi #VaksinCovid19 #Sinovac https://t.co/xwhBjJDIPz","The following upload of @humas_jabar will help Wargi find out why children must be vaccinated, recommendations after and before vaccination, and other provisions.Read, let's go!

#Pikobar #pikocampaign #Vaksinasi # Vaksincovid19 #Sinovac https://t.co/Xwhbjjdipz"
37,dayisma79,2021-11-17 11:22:02,"#COVID19 : 95.4 peratus populasi dewasa negara lengkap divaksinasi

https://t.co/3cV22TeSA4

#LindungDiriLindungSemua #MenangBersama #KitaJagaKita #Vaksin #JapenSarawak #sodiakroks https://t.co/TfeU3lhMCe","# COVID19: 95.4 Percentage of complete country adult population vaccinated

https://t.co/3cv22te

#Lehindirindirilahuaou #mail #japensarawak #sodiakroks https://t.co/tfeu3lhmce"
38,HumasWatukumpul,2021-11-17 11:18:14,"SI SAMBENG
Di Gedung Serba Guna Pemalang
Senin - Sabtu pukul 16.00 - 21.00 WIB
Vaksin aman dan halal

@ariwibowo202
@DivHumas_Polri
@poldajateng_

#pemalang #vaksin #kabarpemalang #info #kabargembira https://t.co/rJ2xOW4oH3","Si Sambeng
In the Pemalang Multipurpose House
Monday - Saturday at 16.00 - 21.00 WIB
Safe and halal vaccine

@ ariwibowo202.
@Divhumas_polri.
@poldajateng_

#Pemalang #VAKSIN #KabarPemalang #Info #Kabargembira https://t.co/rj2xow4Oh3"
39,BalilibraApt,2021-11-17 11:18:10,"Tetap lakukan Protokol Kesehatan yaa 😷
#vaksin
#sehatnegeriku 
#tumbuhindonesiaku https://t.co/tOxaZKMNA6","Keep doing health protocols huh 😷
#vaccine
#sehatnegerku.
#Tumbuhindonesiaku https://t.co/toxazkmna6."
40,2021Rakyat,2021-11-17 11:13:57,"Menteri BUMN Erick Thohir melalui akun Twitternya menyayangkan banyaknya rumor palsu dan fitnah terhadap dirinya.
.
.

~&gt; Follow US: @2021Rakyat

#BersamaRakyat #bersama #rakyat #ericktohir #erick #tohir #bumn #mentribumn #covid #vaksin #vaksìncovid19 #vaksìnasicovid19 https://t.co/ddyDIgOQRs","BUMN Minister Erick Thohir through his Twitter account regretted many false rumors and slander towards him.
.
.

~ & gt;Follow us: @ 2021rakyat

#Bersamarakat #Bersama #Royyat #ericktohir #erick #Pohir #bumn #Movid #Covid #VAKSIN # vaksìncovid19 # vaksìnasicovid19 https://t.co/ddyDigoQRS"
41,viralvideovlogs,2021-11-17 11:05:22,"#COVID19 : 95.4 peratus populasi dewasa negara lengkap divaksinasi

https://t.co/3cV22TeSA4

#LindungDiriLindungSemua #MenangBersama #KitaJagaKita #Vaksin #JapenSarawak #sodiakroks https://t.co/TfeU3lhMCe","# COVID19: 95.4 Percentage of complete country adult population vaccinated

https://t.co/3cv22te

#Lehindirindirilahuaou #mail #japensarawak #sodiakroks https://t.co/tfeu3lhmce"
42,PMRmeradong,2021-11-17 11:05:20,"#COVID19 : 95.4 peratus populasi dewasa negara lengkap divaksinasi

https://t.co/3cV22TeSA4

#LindungDiriLindungSemua #MenangBersama #KitaJagaKita #Vaksin #JapenSarawak #sodiakroks https://t.co/TfeU3lhMCe","# COVID19: 95.4 Percentage of complete country adult population vaccinated

https://t.co/3cv22te

#Lehindirindirilahuaou #mail #japensarawak #sodiakroks https://t.co/tfeu3lhmce"
43,lionhea7t,2021-11-17 09:48:22,"Waspada Gelombang Ke-3 Covid-19, Segera Vaksinasi !

#Vaksin #Vaksinasi https://t.co/9ptO5OfMBg","Beware of 3rd wave Covid-19, immediately vaccination!

#VAKSIN #VACTIVE https://t.co/9PTO5OfMBG."
44,ZonaWajibSenyum,2021-11-17 09:48:01,"Waspada Gelombang Ke-3 Covid-19, Segera Vaksinasi !

#Vaksin #Vaksinasi https://t.co/juDr1zZdio","Beware of 3rd wave Covid-19, immediately vaccination!

#VAKSIN #VACTIVE https://t.co/judr1zzDio."
45,nurulai03945382,2021-11-17 09:26:11,"Akhirnya...
Yang ditunggu tunggu setelah sekian lama.

Terima kasih kkm..pkd..

#examptioncert
#vaksincovid https://t.co/VW0UgUlnQ9","Finally...
What is waiting for after a long time.

Thank you kkm..pkd ..

#ExamptIONCERT
#VaksinCovid https://t.co/VW0UGULNQ9."
46,fkcommunication,2021-11-17 09:25:19,"Vaksin Booster Jadi Syarat Covid-19 Jadi Endemi https://t.co/tMANEo9J1X via @Forum Keadilan 

#vaksin #booster #covid19 #syarat #Endemi #fkcommunication #forumkeadilan","Booster Vaccine Becomes Covid-19 Terms Become Endemi https://t.co/tmaneo9J1x via @Forum Justice

#VAKSIN #BOOSTER # COVID19 # SCredit #Endemi #FKCommunication #Forteryilan"
47,Mariatungkat2,2021-11-17 08:49:49,"#COVID19 : 95.4 peratus populasi dewasa negara lengkap divaksinasi

https://t.co/3cV22TeSA4

#LindungDiriLindungSemua #MenangBersama #KitaJagaKita #Vaksin #JapenSarawak #sodiakroks https://t.co/TfeU3lhMCe","# COVID19: 95.4 Percentage of complete country adult population vaccinated

https://t.co/3cv22te

#Lehindirindirilahuaou #mail #japensarawak #sodiakroks https://t.co/tfeu3lhmce"
48,pikiran_rakyat,2021-11-17 08:49:06,"Gubernur Wajibkan Vaksin Covid-19 Jika Hendak Berwisata di Jabar, Ridwan Kamil: Teu Vaksin Teu Ulin

https://t.co/RZcbmYCahc 

#gubernur #jabar #jawabarat #ridwankamil #emil #wisatawan #vaksin #wisata #covid19 #indonesia #nasional #prmn #prmnsahabatumkm #pikiranrakyat","Governor Require Covid-19 Vaccine If you want to travel in West Java, Ridwan Kamil: Teu Vaccine Teu Ulin

https://t.co/rzcbmyCahc.

#Jabil Governor #Jawawabarat #Ridwankamil #Emil #VACKAN #VAKSIN # Wisata # Covid19 #Indonesia #National #prmn #prmnsahabatumkm #Phone"
49,amir_sibat,2021-11-17 08:47:50,"#COVID19 : 95.4 peratus populasi dewasa negara lengkap divaksinasi

https://t.co/3cV22TeSA4

#LindungDiriLindungSemua #MenangBersama #KitaJagaKita #Vaksin #JapenSarawak #sodiakroks https://t.co/TfeU3lhMCe","# COVID19: 95.4 Percentage of complete country adult population vaccinated

https://t.co/3cv22te

#Lehindirindirilahuaou #mail #japensarawak #sodiakroks https://t.co/tfeu3lhmce"
50,beritacovid,2021-11-17 08:44:40,#Vaksin Covid-19 Valneva Disebut akan Jauh Lebih Unggul - Republika Online #Covid #Covid19 https://t.co/jsm9bExHK0,#VAKSIN COVID-19 VALNEVA Called will be far superior - Republika Online #Covid # Covid19 https://t.co/jsm9BexHK0
51,pewe_23,2021-11-17 08:43:54,"Hai SohIB! Sekarang #Sertifikat #Vaksin bisa diunduh lewat #Chatbot #PeduliLindungi lho. Bagaimana caranya? 

#IndonesiaBaik #YangMudaSukaData #ProgramPemerintah #Infografis #Vaksinasi #AyoPakaiMasker #AyoSegeraVaksin #COVID19 #KominfoNewsroom @KemenkesRI https://t.co/uRgRW7DMSE","Hi Sohib!Now # certificates #VAKSIN can be downloaded through #ChatBot #peduliRoti.How to?

#IndonesiaBaik #yangmudasukadata #Prografis government #Vaksinasi #ayopakaMasker #Ayosegeravaksin # Covid19 #kominfoneNewsRoom @KemenKesri https://t.co/urgrw7MSE"
52,fajaronline,2021-11-17 08:36:29,Singapura Mulai Uji Coba Vaksin Covid-19 pada Anak https://t.co/bXW6Nspwt1 #covid-19 #Singapura #vaksin,Singapore Starts Covid-19 Vaccine Trial in Children https://t.co/bxW6NSPWT1 # Covid-19 #Singapura #VAKSIN
53,JapenKulim,2021-11-17 07:48:06,"#COVID19 : 95.4 peratus populasi dewasa negara lengkap divaksinasi

https://t.co/KtV7P1ToMn

#LindungDiriLindungSemua #MenangBersama #KitaJagaKita #Vaksin https://t.co/HHjhzCsVSz","# COVID19: 95.4 Percentage of complete country adult population vaccinated

https://t.co/ktv7p1tomn

#LeholdDirindirihuAll #mail #vaksin https://t.co/hhjhzcsvsz"
54,Lahatupdate2,2021-11-17 07:38:05,"SUDAH VAKSIN?
AYOO VAKSIN . . . .
#lahatupdate #vaksin @ Lahat, Sumatera Selatan, Indonesia https://t.co/6rCLQTAq7K","Already vaccine?
Come on vaccines....
#AhatupDate #VAKSIN @ Lahat, South Sumatra, Indonesia https://t.co/6RCLQTAQ7K"
55,AndakUni,2021-11-17 07:17:17,"#COVID19 : 95.4 peratus populasi dewasa negara lengkap divaksinasi

https://t.co/3cV22TeSA4

#LindungDiriLindungSemua #MenangBersama #KitaJagaKita #Vaksin #JapenSarawak #sodiakroks https://t.co/TfeU3lhMCe","# COVID19: 95.4 Percentage of complete country adult population vaccinated

https://t.co/3cv22te

#Lehindirindirilahuaou #mail #japensarawak #sodiakroks https://t.co/tfeu3lhmce"
56,ianabellar,2021-11-17 07:05:40,"#COVID19 : 95.4 peratus populasi dewasa negara lengkap divaksinasi

https://t.co/3cV22TeSA4

#LindungDiriLindungSemua #MenangBersama #KitaJagaKita #Vaksin #JapenSarawak #sodiakroks https://t.co/TfeU3lhMCe","# COVID19: 95.4 Percentage of complete country adult population vaccinated

https://t.co/3cv22te

#Lehindirindirilahuaou #mail #japensarawak #sodiakroks https://t.co/tfeu3lhmce"
57,pmrdalat,2021-11-17 07:03:20,"#COVID19 : 95.4 peratus populasi dewasa negara lengkap divaksinasi

https://t.co/3cV22TeSA4

#LindungDiriLindungSemua #MenangBersama #KitaJagaKita #Vaksin #JapenSarawak #sodiakroks https://t.co/TfeU3lhMCe","# COVID19: 95.4 Percentage of complete country adult population vaccinated

https://t.co/3cv22te

#Lehindirindirilahuaou #mail #japensarawak #sodiakroks https://t.co/tfeu3lhmce"
58,BrimobKepri,2021-11-17 06:51:44,"Satbrimob Polda Kepri Membuka Gerai vaksin untuk masyarakat dalam rangka mendukung program pemerintah memutus percepatan penyebaran Virus Covid-19.

#ayovaksìncovid19 
#stayhealthy 
#vaksìncovid19 
#jagakesehatanyuks https://t.co/oZ3Wglk4ya","The Kepri Regional Police Satbrimob opened a vaccine outlet for the community in order to support the government program to cut the acceleration of the spread of the Covid-19 virus.

# Ayovaksìncovid19
#StayHealthy.
# vaksìncovid19
#jagakesehatanyuks https://t.co/oz3wglk4ya"
59,lampostco,2021-11-17 06:35:22,"Kabupaten Lampung Utara (Lampura) mendapatkan tambahan vaksin covid-19 sebanyak 10.000 dosis.

#lampura #Vaksin #beritaterkini #lampung #lampostco
https://t.co/5jmMLCSE2g","North Lampung Regency (Lampura) received additional 10,000 covid-19 vaccines.

#LAMPURA #VAKSIN #BeritaKini #LampOSTco #
https://t.co/5JMMLCSE2G."
